Filename,Weight,%_Weight_Loss
0_10_1.png,140.9,0
0_10_10.png,125.3,0
0_10_2.png,121.7,0
0_10_3.png,149.4,0
0_10_4.png,121.6,0
0_10_5.png,137,0
0_10_6.png,124.6,0
0_10_7.png,125.6,0
0_10_8.png,120.5,0
0_10_9.png,121.9,0
0_15_1.png,145.4,0
0_15_10.png,126.1,0
0_15_2.png,108.2,0
0_15_3.png,111.5,0
0_15_4.png,108.4,0
0_15_5.png,128.9,0
0_15_6.png,129,0
0_15_7.png,118.2,0
0_15_8.png,125.9,0
0_15_9.png,119.7,0
0_20_1.png,121.2,0
0_20_10.png,125.8,0
0_20_2.png,117.7,0
0_20_3.png,114.8,0
0_20_4.png,132.7,0
0_20_5.png,129.2,0
0_20_6.png,119.1,0
0_20_7.png,117.7,0
0_20_8.png,124.1,0
0_20_9.png,126.5,0
0_5_1.png,158.9,0
0_5_10.png,138.9,0
0_5_2.png,153.9,0
0_5_3.png,168.6,0
0_5_4.png,110.7,0
0_5_5.png,166.5,0
0_5_6.png,145.9,0
0_5_7.png,141.6,0
0_5_8.png,147.7,0
0_5_9.png,138,0
1_10_1.png,134.7,4.400283889
1_10_10.png,121.8,2.793296089
1_10_2.png,117,3.861955629
1_10_3.png,143.5,3.949129853
1_10_4.png,117.3,3.536184211
1_10_5.png,133.4,2.627737226
1_10_6.png,119.3,4.253611557
1_10_7.png,120.4,4.140127389
1_10_8.png,115.6,4.066390041
1_10_9.png,117.6,3.527481542
1_15_1.png,137,5.777166437
1_15_10.png,122.4,2.934179223
1_15_2.png,102.2,5.545286506
1_15_3.png,106.9,4.125560538
1_15_4.png,104.2,3.874538745
1_15_5.png,124.8,3.180760279
1_15_6.png,122.9,4.728682171
1_15_7.png,112.7,4.653130288
1_15_8.png,120.6,4.20969023
1_15_9.png,115,3.926482874
1_20_1.png,113.9,6.02310231
1_20_10.png,120.2,4.451510334
1_20_2.png,109.6,6.881903144
1_20_3.png,108.9,5.139372822
1_20_4.png,127.9,3.617181613
1_20_5.png,124.8,3.405572755
1_20_6.png,110.8,6.968933669
1_20_7.png,111.1,5.607476636
1_20_8.png,116.7,5.962933118
1_20_9.png,120.6,4.664031621
1_5_1.png,154.5,2.76903713
1_5_10.png,135.4,2.519798416
1_5_2.png,150.3,2.339181287
1_5_3.png,164.2,2.609727165
1_5_4.png,108.1,2.348690154
1_5_5.png,162.6,2.342342342
1_5_6.png,137.2,5.962988348
1_5_7.png,136,3.95480226
1_5_8.png,142.1,3.791469194
1_5_9.png,133.2,3.47826087
2_10_1.png,133.2,1.113585746
2_10_10.png,120.5,1.067323481
2_10_2.png,115.5,1.282051282
2_10_3.png,141.7,1.254355401
2_10_4.png,116.4,0.767263427
2_10_5.png,131.7,1.274362819
2_10_6.png,118,1.089689858
2_10_7.png,119.4,0.830564784
2_10_8.png,114.2,1.211072664
2_10_9.png,116.1,1.275510204
2_15_1.png,135.7,0.948905109
2_15_10.png,120.8,1.307189542
2_15_2.png,101.5,0.684931507
